IDs,Proportions,T,logV
"[1, 2]","[0.5, 0.5]",298.15,-0.45
"[2, 3]","[0.3, 0.7]",303.15,-0.32
"[1, 3]","[0.6, 0.4]",308.15,-0.28
"[2, 4]","[0.2, 0.8]",298.15,-0.51
"[3, 4]","[0.55, 0.45]",313.15,-0.19
"[1, 4]","[0.4, 0.6]",303.15,-0.37
"[2, 5]","[0.35, 0.65]",318.15,-0.12
"[3, 5]","[0.25, 0.75]",298.15,-0.41
"[4, 5]","[0.5, 0.5]",308.15,-0.22
"[1, 5]","[0.7, 0.3]",313.15,-0.08
"[2, 6]","[0.45, 0.55]",303.15,-0.30
"[3, 6]","[0.6, 0.4]",298.15,-0.44
"[4, 6]","[0.3, 0.7]",318.15,-0.15
"[5, 6]","[0.5, 0.5]",308.15,-0.25
"[1, 6]","[0.8, 0.2]",303.15,-0.35
"[2, 7]","[0.4, 0.6]",313.15,-0.18
"[3, 7]","[0.55, 0.45]",298.15,-0.39
"[4, 7]","[0.65, 0.35]",308.15,-0.21
"[5, 7]","[0.35, 0.65]",318.15,-0.11
"[6, 7]","[0.5, 0.5]",303.15,-0.29
"[1, 7]","[0.25, 0.75]",298.15,-0.48
"[2, 8]","[0.6, 0.4]",308.15,-0.24
"[3, 8]","[0.45, 0.55]",313.15,-0.16
"[4, 8]","[0.5, 0.5]",303.15,-0.33
"[5, 8]","[0.7, 0.3]",298.15,-0.42
"[6, 8]","[0.3, 0.7]",318.15,-0.14
"[7, 8]","[0.55, 0.45]",308.15,-0.20
"[1, 8]","[0.4, 0.6]",313.15,-0.17
"[2, 9]","[0.5, 0.5]",298.15,-0.40
"[3, 9]","[0.65, 0.35]",303.15,-0.31
