id,SMILES,flagged,category_1,category_2,category_3
2,BrC(Br)(Br)Br,False,alkyl_halide,,
3,BrC(Br)Br,False,alkyl_halide,,
4,BrC(Br)C(Br)Br,False,alkyl_halide,,
6,BrCCBr,False,alkyl_halide,,
9,Brc1ccccc1,False,aromatic_ring,aromatic halide,
10,C#CC(=C)C,False,alkyne,,
12,C#CC(C)C,False,alkyne,,
21,C#CCO,False,alcohol,,
22,C#Cc1ccccc1,False,aromatic_ring,,
23,C#N,True,,,
25,C/C1=C\CC/C(C)=C/CC(C)(C)/C=C/C1,False,alkene,,
28,C/C=C(\C)CC,False,alkene,,
31,C/C=C/C(=O)OCC,False,ester,,
33,C/C=C/C=C/C,False,alkene,,
34,C/C=C/C=O,False,aldehyde,,
35,C/C=C/CC,False,alkene,,
36,C/C=C/CCC,False,alkene,,
42,C/C=C/c1ccccc1,False,aromatic_ring,,
51,C/C=C\CCCCCC,False,alkene,,
54,C/C=C\c1ccccc1,False,aromatic_ring,,
59,C1=CCCC=CCC1,False,cyclic_hydrocarbon,,
60,C1=CCCCC1,False,cyclic_hydrocarbon,,
61,C1=CCCCCC1,False,cyclic_hydrocarbon,,
64,C1=C[C@H]2[C@@H](C1)[C@H]1C=C[C@@H]2C1,False,alkene,cyclic,
66,C1CCC(C2CCCCC2)CC1,False,alkane,cyclic,
67,C1CCC(SC2CCCCC2)CC1,False,thioether,,
68,C1CCC2CCCCC2C1,False,alkane,cyclic,
69,C1CCCC1,False,cyclic_hydrocarbon,,
70,C1CCCCC1,False,cyclic_hydrocarbon,,
71,C1CCCCCCC1,False,cyclic_hydrocarbon,,
73,C1CCNC1,False,secondary_amine,,
74,C1CCNCC1,False,secondary_amine,,
75,C1CCOC1,False,ether,,
76,C1CCOCC1,False,ether,,
78,C1CC[C@H]2CCCC[C@@H]2C1,False,alkane,cyclic,
79,C1CC[C@H]2CCCC[C@H]2C1,False,alkane,cyclic,
80,C1COC1,False,ether,,
81,C1COCCO1,False,ether,,
82,C1COCOC1,False,ether,,
83,C1CSC1,False,thioether,,
84,C=C(C)C#N,False,cyanogen,,
