IDs,Proportions,T,logV
"[240, 777]","[0.2, 0.8]",303.15,-0.1826354459593347
"[396, 944]","[0.9, 0.1]",308.15,-0.0360382325696341
"[416, 578]","[0.2, 0.8]",303.15,-0.481262460179991
"[599, 756]","[0.1, 0.9]",303.15,-0.3274974369440403
"[330, 645]","[0.7, 0.3]",299.817,0.0328423368962486
"[804, 1032, 872]","[0.2999, 0.4002, 0.2999]",313.15,-0.0309103970450784
"[474, 786]","[0.05, 0.95]",303.15,0.4027259102617427
"[330, 890]","[0.51, 0.49]",298.15,0.0784924532392414
"[298, 679]","[0.3, 0.7]",313.15,0.2600911384851588
"[646, 659]","[0.5, 0.5]",308.15,0.0714433906939265
"[786, 916]","[0.2, 0.8]",303.21,-0.1360856733263142
"[435, 914]","[0.7, 0.3]",303.15,-0.2398987781707654
"[599, 712]","[0.65, 0.35]",303.15,-0.1190257527001531
"[232, 890]","[0.9, 0.1]",313.15,-0.1289604114742247
"[453, 910]","[0.4, 0.6]",313.15,-0.0741587931114219
"[340, 928]","[0.88, 0.12]",298.15,-0.1761512101772134
"[927, 1016]","[0.2, 0.8]",308.15,0.1093952026131428
"[240, 933]","[0.2, 0.8]",303.15,-0.0964095348324187
"[894, 905]","[0.4, 0.6]",298.15,0.1608884266153969
"[862, 850]","[0.7006, 0.2994]",318.15,-0.4271283977995198
"[70, 923, 71, 944, 645]","[0.1081, 0.2972, 0.0587, 0.2542, 0.2819]",293.15,-0.115771230367396
"[240, 850]","[0.7, 0.3]",308.15,-0.1717487229055749
"[70, 804]","[0.3509, 0.6491]",313.15,-0.0272419160964607
"[689, 701]","[0.6, 0.4]",305.65,0.8839254050674518
"[689, 952]","[0.36, 0.64]",303.15,0.5546511941566916
"[928, 1229]","[0.1, 0.9]",303.15,-0.1600646595564692
"[914, 1036]","[0.9, 0.1]",310.65,0.4272126237204853
"[440, 765]","[0.4, 0.6]",308.15,0.1709947020362709
"[578, 599]","[0.3, 0.7]",298.15,-0.4459090186483107
"[233, 1004]","[0.55, 0.45]",323.15,-1.012421906308223
"[926, 928]","[0.77, 0.23]",303.15,0.1530025676085291
"[890, 1033]","[0.79, 0.21]",298.15,-0.1144628405450879
"[721, 961]","[0.0009, 0.9991]",303.15,-0.1023729087095585
"[232, 925]","[0.68, 0.32]",303.15,-0.0737906007502798
"[273, 961]","[0.6, 0.4]",310.65,-0.3406146556982529
"[966, 980]","[0.6, 0.4]",320.65,0.112332977761446
"[850, 974]","[0.5, 0.5]",303.15,0.5607671824152471
"[420, 1018]","[0.1, 0.9]",298.15,0.011382568469743
"[307, 621]","[0.6, 0.4]",308.15,0.1495502538959982
"[1390, 721, 961]","[0.0003, 0.0059, 0.9938]",293.15,0.0293837776852096
"[86, 331]","[0.14, 0.86]",303.15,-0.4550501099955442
"[765, 970]","[0.2, 0.8]",318.15,1.8325148139013423
"[9, 928]","[0.7, 0.3]",303.15,-0.0781554122602108
"[458, 1225]","[0.4, 0.6]",298.15,-0.2358048147569372
"[635, 784]","[0.2, 0.8]",308.15,-0.2375636826386658
"[981, 870, 599, 71]","[0.1387, 0.3377, 0.2186, 0.30500000000000005]",308.15,-0.2269453066357374
"[676, 777]","[0.57, 0.43]",298.15,0.1235051222310691
"[273, 976]","[0.6, 0.4]",318.1,-0.0940595696087254
"[689, 1032]","[0.4, 0.6]",323.15,0.2834118580984986
"[81, 1225]","[0.1, 0.9]",313.15,-0.1856787453663661
"[240, 1225]","[0.19, 0.81]",308.15,-0.1779300412110223
"[81, 863]","[0.8, 0.2]",308.15,-0.0035787068184837
"[86, 1375]","[0.7, 0.3]",303.15,-0.3055427235092112
[284],[1.0],298.0,-0.1289026240859482
"[863, 961]","[0.5, 0.5]",310.65,0.3168467879677668
"[440, 961]","[0.03, 0.97]",309.4,0.0305405804356935
"[741, 803]","[0.1, 0.9]",308.15,-0.2534650691113079
"[872, 961]","[0.9, 0.1]",308.9,-0.0648622646672502
"[756, 1018]","[0.2, 0.8]",303.15,0.2732834510588623
"[763, 765]","[0.5, 0.5]",309.4,0.0459591503279276
"[933, 578, 981]","[0.1919, 0.2414, 0.5667]",298.15,-0.3217905624503484
"[850, 1008]","[0.6, 0.4]",318.15,0.529810233448768
"[961, 862, 850]","[0.5003, 0.05, 0.4497]",298.15,0.2185355052165278
"[86, 712]","[0.1, 0.9]",308.15,0.4853393915550004
[1038],[1.0],313.15,2.274619619091238
"[701, 898]","[0.1, 0.9]",305.65,-0.3445161269913221
"[869, 920]","[0.3, 0.7]",293.15,-0.2027324591692835
"[86, 928]","[0.5, 0.5]",303.15,-0.2877423725411985
[197],[1.0],308.15,-0.4321412956202222
"[645, 895]","[0.62, 0.38]",318.15,-0.1506539459538787
"[903, 961]","[0.7, 0.3]",311.9,0.467621331406106
"[70, 960]","[0.61, 0.39]",311.35,-0.0021769192542745
"[695, 1382]","[0.26, 0.74]",303.15,0.105899831212905
"[645, 859]","[0.83, 0.17]",318.15,-0.171511555157736
"[599, 618]","[0.36, 0.64]",303.5,-0.3645289969823291
"[882, 960]","[0.7, 0.3]",313.15,0.2250212476573181
"[413, 474]","[0.7, 0.3]",298.15,-0.2285522201831746
"[9, 882]","[0.4, 0.6]",313.15,0.0726539442005855
[1319],[1.0],298.0,2.1104481521011325
"[721, 786]","[0.05, 0.95]",303.15,0.4087536515387029
"[721, 938]","[0.4, 0.6]",298.15,0.1289703865928357
"[539, 701]","[0.68, 0.32]",308.15,0.4347385540158337
"[514, 765]","[0.2, 0.8]",305.5,0.3960361093945685
"[618, 895]","[0.17, 0.83]",318.15,-0.0102261527457791
"[232, 1000]","[0.3, 0.7]",303.15,0.4727773611826476
"[895, 914]","[0.5, 0.5]",303.15,0.2417425834327354
"[679, 910]","[0.73, 0.27]",313.15,0.2319835506117442
"[273, 578, 850]","[0.8109, 0.0798, 0.10930000000000006]",298.15,-0.5047332556121896
"[9, 561]","[0.1, 0.9]",303.15,0.7258907788272705
"[86, 981]","[0.2, 0.8]",303.15,-0.2653270272269868
"[330, 933]","[0.6, 0.4]",313.15,-0.0588243248769684
[935],[1.0],308.15,0.1319287891826645
"[850, 969]","[0.8, 0.2]",312.15,-0.0719127239931102
"[273, 348]","[0.9, 0.1]",298.15,-0.4749913677301158
[1118],[1.0],298.0,-0.1770551999850526
"[342, 416]","[0.1, 0.9]",308.15,-0.1278763806568655
"[240, 923]","[0.25, 0.75]",303.15,-0.2443757025444078
"[440, 756]","[0.1, 0.9]",303.15,-0.1763208405752487
"[700, 759]","[0.3, 0.7]",308.15,0.0182479120330757
"[303, 578, 70]","[0.0586, 0.548, 0.39339999999999997]",298.15,-0.1214782044987934
"[803, 850]","[0.3, 0.7]",313.15,-0.1250216851315749
"[659, 701]","[0.9, 0.1]",308.15,-0.0029048740512042
"[252, 765]","[0.55, 0.45]",305.65,-0.0548958801945469
"[850, 898]","[0.29, 0.71]",298.15,-0.380008231872774
"[961, 1324]","[0.65, 0.35]",313.05,0.7755061857955856
"[857, 918]","[0.2, 0.8]",303.15,-0.1754471020246785
"[459, 474]","[0.45, 0.55]",305.65,-0.1164331198954766
"[799, 815]","[0.1, 0.9]",308.15,-0.3147029783938701
"[862, 973]","[0.4, 0.6]",303.15,-0.0125767468119237
"[645, 799]","[0.7, 0.3]",308.15,-0.1237289173355826
[520],[1.0],305.65,-0.3680991460419458
"[6, 884]","[0.2, 0.8]",323.15,0.2683368401413411
"[872, 944]","[0.7, 0.3]",305.65,-0.1121147672110227
"[514, 765]","[0.4, 0.6]",305.5,0.5149093325684709
"[618, 999]","[0.48, 0.52]",298.15,0.0426715423004165
"[614, 645]","[0.9, 0.1]",298.15,0.666093934947914
"[788, 804]","[0.5, 0.5]",308.15,0.4168042056538734
"[219, 895]","[0.3, 0.7]",308.15,-0.1605074336906425
"[645, 863]","[0.5, 0.5]",305.65,-0.0408977625897799
"[890, 765, 961]","[0.3043, 0.3144, 0.3813]",303.15,0.2283746904219072
[765],[1.0],309.817,0.2399890750052955
[437],[1.0],305.65,-0.388164151294302
[641],[1.0],298.0,0.1015161515052746
"[474, 937]","[0.2, 0.8]",300.65,-0.1829727112981253
"[862, 944]","[0.44, 0.56]",303.15,-0.2796523654818033
"[890, 937]","[0.7, 0.3]",309.817,-0.2648030676419936
"[928, 944, 721]","[0.5496, 0.2766, 0.17379999999999995]",313.15,-0.2073982188350336
"[902, 940]","[0.7, 0.3]",298.15,-0.2098702213131081
"[914, 1011]","[0.9, 0.1]",310.65,0.3151398008342792
"[267, 981]","[0.36, 0.64]",303.15,-0.1679908073378916
"[804, 890]","[0.4, 0.6]",303.15,-0.0804699084151726
"[1399, 961, 850]","[0.0151, 0.9479, 0.037]",303.15,0.1072099696478683
"[890, 850, 961]","[0.2015, 0.1395, 0.659]",283.15,0.4864586043563039
"[759, 934]","[0.4, 0.6]",303.15,-0.0185922239090611
[666],[1.0],313.15,0.5130757072193967
"[86, 936]","[0.3, 0.7]",303.15,-0.2395738197429075
[990],[1.0],303.15,0.2467447097238167
[568],[1.0],308.15,0.0594146865324521
"[81, 923]","[0.6, 0.4]",313.15,-0.126068141934795
"[219, 247]","[0.2, 0.8]",308.15,0.057421049389991
"[929, 933]","[0.8, 0.2]",315.65,0.3044900696329038
"[307, 1008]","[0.3, 0.7]",313.15,0.4065096882738168
"[86, 474]","[0.6, 0.4]",303.15,-0.2172164054404352
"[259, 1006]","[0.4, 0.6]",298.15,0.2407529280334909
"[578, 928, 721]","[0.124, 0.5027, 0.37329999999999997]",303.15,-0.0784695864987576
"[910, 957]","[0.1, 0.9]",303.15,0.129045059887958
"[777, 892]","[0.5, 0.5]",303.15,-0.0472910247245628
"[458, 966]","[0.1, 0.9]",303.15,0.1491832329708743
[1055],[1.0],298.0,-0.4455846488888367
"[890, 850, 961]","[0.1774, 0.3748, 0.4478]",283.15,0.4069671119148384
"[961, 974, 804]","[0.88731, 0.03676, 0.07592999999999994]",318.15,0.0415308477868505
"[858, 914]","[0.51, 0.49]",308.15,-0.0235400926556246
"[70, 599, 645, 578]","[0.3977, 0.1037, 0.1033, 0.3953]",328.15,0.0719924071241761
"[667, 859]","[0.03, 0.97]",308.15,0.1176044942359946
"[850, 961]","[0.86, 0.14]",298.2,0.1172712956557642
"[857, 920]","[0.7, 0.3]",303.15,-0.0830675046864832
"[1054, 890]","[0.5, 0.5]",300.655,-0.5350225696918205
"[902, 960]","[0.3, 0.7]",298.15,0.2737859818993632
"[253, 679]","[0.1, 0.9]",313.15,0.334347057539327
"[70, 721]","[0.4, 0.6]",318.0,0.1380032653489625
"[901, 937]","[0.4, 0.6]",308.15,-0.1553093142569199
[60],[1.0],313.15,-0.2864527106399954
[851],[1.0],308.15,0.1574567681342256
"[149, 578]","[0.46, 0.54]",298.15,-0.0534027250856574
"[9, 420]","[0.6, 0.4]",305.65,-0.1171215851812365
[995],[1.0],318.1,-0.1464428232271891
"[897, 919]","[0.26, 0.74]",298.15,-0.1748436431321701
"[132, 247]","[0.8, 0.2]",308.15,-0.3406985687677583
"[76, 988]","[0.3, 0.7]",313.15,0.0020697005945989
"[695, 905]","[0.53, 0.47]",303.15,0.4210569698372075
[163],[1.0],298.0,-0.1545719837033491
"[1375, 850]","[0.55, 0.45]",298.15,-0.2098154804047502
[1375],[1.0],295.65,-0.4554397226827729
"[676, 1202]","[0.9, 0.1]",308.15,0.2003826776281134
"[912, 960]","[0.5, 0.5]",303.15,0.7067177823367587
"[712, 843]","[0.7, 0.3]",310.65,0.4120192064806082
"[933, 981]","[0.7, 0.3]",305.317,-0.1210046203122193
"[961, 974, 804]","[0.88731, 0.03676, 0.07592999999999994]",298.15,0.20551291747351
"[914, 944]","[0.8, 0.2]",313.15,0.0926040740887645
"[1399, 961, 850]","[0.065, 0.782, 0.153]",313.15,0.4924810101288767
"[599, 858]","[0.6, 0.4]",301.9,-0.3545273628849236
"[765, 890]","[0.4, 0.6]",311.15,-0.0452478173687271
"[416, 1017]","[0.5, 0.5]",308.15,0.3410638793110626
"[871, 890]","[0.1, 0.9]",308.15,-0.1821559257046906
"[867, 1291]","[0.6, 0.4]",298.15,-0.0716041477432861
"[923, 939]","[0.37, 0.63]",293.15,-0.2909491941467991
"[232, 970]","[0.2, 0.8]",318.15,1.7817341018160204
"[219, 920]","[0.6, 0.4]",308.15,-0.3813787857916644
"[756, 850]","[0.6, 0.4]",313.15,-0.2656505999759287
"[863, 950]","[0.9, 0.1]",315.12,0.1862867285528602
"[599, 857]","[0.7, 0.3]",303.15,-0.3402316881790883
"[219, 898]","[0.7, 0.3]",303.15,-0.4647363635640657
"[435, 898]","[0.2, 0.8]",303.15,-0.4498068687130687
"[893, 928]","[0.4, 0.6]",308.15,-0.1382924439777294
[934],[1.0],298.0,-0.073373943062283
"[81, 937]","[0.2, 0.8]",313.15,-0.2047296494392963
"[3, 1367]","[0.1, 0.9]",298.15,-0.2006567230011671
"[273, 961]","[0.93, 0.07]",310.95,-0.543834081422886
"[859, 981]","[0.9, 0.1]",298.15,0.2558353028380417
[33],[1.0],298.0,-0.6121430448926907
"[70, 918]","[0.4, 0.6]",318.09,-0.2893820740607247
"[413, 474]","[0.6, 0.4]",298.15,-0.1818734632739226
"[804, 936]","[0.1, 0.9]",308.742,-0.2745975845894199
"[578, 721]","[0.2, 0.8]",308.1,0.2750863915615301
"[890, 937]","[0.4, 0.6]",298.15,-0.2251554554546239
"[81, 933]","[0.9, 0.1]",313.15,-0.0216945885765085
"[70, 988]","[0.1, 0.9]",313.15,0.0606915372607822
"[618, 804]","[0.59, 0.41]",293.15,-0.1589360443186836
"[333, 1375]","[0.1, 0.9]",303.15,-0.3406298189519101
[515],[1.0],308.15,-0.0193811610407365
"[1225, 1003]","[0.8, 0.2]",308.15,-0.1095931911001503
